source_zh	target_en	predicted_en	Error type - Single	Analysis
大多数接过传单的人都不知道自己吃的鸡蛋原来来自于那些极为窄小，以致连一只鸟都无法完全伸展双翼的笼子 — — 而常规操作中这么一个笼子要装下四只母鸡。	Most of those who took the leaflets did not know that their eggs came from hens kept in cages so small that even one bird – the cages normally housed four – would be unable to fully stretch and flap her wings.	Most people who receive the leaflet have no idea that the eggs they are eating come from cages that are so small that even a single bird cannot fully extend its wings – and that four hens would normally be kept in such a cage.	Omission/Addition Error	"The model translation is ""Most people who receive the leaflet have no idea that the eggs they are eating come from cages that are so small that even a single bird cannot fully extend its wings – and that four hens would normally be kept in such a cage."" The model adds ""Most people who receive the leaflet"" when the Chinese says ""Most of those who took the leaflets,"" changing the action from those who accepted them to those who receive them. The phrase ""the eggs they are eating come from"" is added specificity not in the Chinese. The model changes ""would be unable to fully stretch and flap her wings"" to just ""cannot fully extend its wings,"" omitting the flapping motion. The correct translation should be ""Most of those who took the leaflets did not know that their eggs came from hens kept in cages so small that even one bird – the cages normally housed four – would be unable to fully stretch and flap her wings."""
一份北爱尔兰“阿尔斯特煎蛋 ” — —鸡蛋、培根、猪肉香肠、黑布丁、土豆、苏打面包再配上油炸番茄 — — 搭配一杯茶？	A Northern Irish “Ulster fry-up” – eggs, bacon, pork sausage, black pudding, potato and soda bread, and a fried tomato – with a cup of tea?	A fry-up – eggs, bacon, sausages, black pudding, baked beans, mushrooms, potatoes, tomatoes, and toast, followed by a cup of tea – in Northern Ireland is known as an “Ulster fry,” while in the Republic of Ireland, it is an “Irish fry.”	Omission/Addition Error	"The model translation is ""A fry-up – eggs, bacon, sausages, black pudding, baked beans, mushrooms, potatoes, tomatoes, and toast, followed by a cup of tea – in Northern Ireland is known as an 'Ulster fry,' while in the Republic of Ireland, it is an 'Irish fry.'"" The model completely fabricates additional ingredients not in the Chinese (baked beans, mushrooms, toast) and adds information about the Republic of Ireland that doesn't exist in the source. The model changes ""pork sausage"" to just ""sausages"" and omits ""soda bread."" The structure also changes from a question format to a declarative statement with regional variations. The correct translation should be ""A Northern Irish 'Ulster fry-up' – eggs, bacon, pork sausage, black pudding, potato and soda bread, and a fried tomato – with a cup of tea?"""
但他是资深公务员，也似乎是唯一一个能可信地保持心存不满的香港公职人员团结的技术官僚。 中国明白，公务员是治理香港不可或缺的要素，尽管香港公务员制度继承了英国。	But he was a senior civil servant, and seemed to be the only technocrat who could credibly hold together Hong Kong’s disaffected civil service, which China knew was indispensable to governing the territory, regardless of its British heritage.	But he is a seasoned bureaucrat, and seems to be the only technocrat who can credibly unite Hong Kong’s civil servants, who are an indispensable element of governance in Hong Kong, despite the city’s British-derived civil-service system.	Semantic Error	"The model translation is ""But he is a seasoned bureaucrat, and seems to be the only technocrat who can credibly unite Hong Kong's civil servants, who are an indispensable element of governance in Hong Kong, despite the city's British-derived civil-service system."" The model misinterprets the relationship between different elements - the original indicates the civil service is ""disaffected"" (心存不满), meaning dissatisfied or alienated, but the model translates this as simply ""unite Hong Kong's civil servants"" without capturing this negative sentiment. The model also changes ""hold together"" into ""unite,"" which loses the sense of preventing fragmentation. Additionally, the model shifts the timeframe from past tense (""was"") to present tense (""is""). The correct translation should be ""But he was a senior civil servant, and seemed to be the only technocrat who could credibly hold together Hong Kong's disaffected civil service, which China knew was indispensable to governing the territory, regardless of its British heritage."""
随着经济的扩张，亚洲国家有了构建和拔高新历史的信心，它们要么淡化自身的侵略行为，要么抬高它们面对残酷牺牲时的坚定不移。	As their economies have expanded, Asian countries have gained the confidence to construct and exalt a new past, in which they either downplay their own aggressions or highlight their steadfastness in the face of brutal victimization.	As their economies expanded, Asian countries developed a sense of confidence in their ability either to moderate their aggressive impulses or to stand firm in the face of brutal sacrifice.	Semantic Error	"The model translation is ""As their economies expanded, Asian countries developed a sense of confidence in their ability either to moderate their aggressive impulses or to stand firm in the face of brutal sacrifice."" The model completely misinterprets the core meaning - the original discusses how countries ""construct and exalt a new past"" by rewriting history, either downplaying their own aggressions or emphasizing their victimization. The model instead talks about ""moderating aggressive impulses"" or ""standing firm in the face of brutal sacrifice,"" which shifts from discussing historical narratives to discussing actual behavior. This fundamentally changes what the sentence is about. The correct translation should be ""As their economies have expanded, Asian countries have gained the confidence to construct and exalt a new past, in which they either downplay their own aggressions or highlight their steadfastness in the face of brutal victimization."""
问题不仅仅在于甚至不主要在于国际货币基金组织拖延向阿根廷提供资金，更大的问题在于国际货币基金组织所提的建议乏善可陈。	The problem is not only, or even mainly, the IMF's delay in providing money to Argentina. The bigger problem is the paucity of correct ideas coming from the IMF.	The problem is not just that the IMF is delaying disbursement of funds to Argentina, or even that the Fund’s proposals have been inadequate. The bigger problem is that Argentina is running out of time.	Semantic Error	"The model translation is ""The problem is not just that the IMF is delaying disbursement of funds to Argentina, or even that the Fund's proposals have been inadequate. The bigger problem is that Argentina is running out of time."" The model adds an entirely new problem that does not exist in the original text - ""Argentina is running out of time."" The original states that the bigger problem is ""the paucity of correct ideas coming from the IMF,"" meaning the IMF lacks good policy recommendations. The model's invented problem about Argentina running out of time completely changes the focus from criticizing the IMF's advice to discussing Argentina's timeline. The correct translation should be ""The problem is not only, or even mainly, the IMF's delay in providing money to Argentina. The bigger problem is the paucity of correct ideas coming from the IMF."""
在工作体验这个问题上，许多人 — — 特别是欧洲大陆人 — — 认为最优配置（带来运转良好的机构）如能加上教育投资便已足够。	When it comes to the experience of work, many – especially in continental Europe – believe that optimal allocation (entailing well-functioning institutions), if accompanied by investment in education, is all that is needed.	On the issue of work experience, many – particularly on the continent – believe that the best allocation (which leads to well-functioning institutions) is enough, if supplemented by investment in education.	Fluency Error	"The model translation is ""On the issue of work experience, many – particularly on the continent – believe that the best allocation (which leads to well-functioning institutions) is enough, if supplemented by investment in education."" The phrasing ""On the issue of work experience"" sounds awkward and overly formal compared to the more natural ""When it comes to the experience of work."" The parenthetical explanation ""(which leads to well-functioning institutions)"" is also clunky - the original uses ""entailing"" which flows better. The model's version reads like a literal translation that preserves Chinese sentence structure rather than natural English. The correct translation should be ""When it comes to the experience of work, many – especially in continental Europe – believe that optimal allocation (entailing well-functioning institutions), if accompanied by investment in education, is all that is needed."""
总统去除了传统的制衡就从来不必为其政策提供连贯的理由，如果是这样，那么，就会马上不会为其政策提供什么一贯的理由了。	A presidency that, having dismantled traditional checks and balances, is never compelled to provide coherent reasons for its policies, is soon likely to have few coherent reasons for its policies.	Without the traditional checks and balances, the president will never have to provide coherent reasons for his policies, if he ever does.	Incomplete Translation	"The model translation is ""Without the traditional checks and balances, the president will never have to provide coherent reasons for his policies, if he ever does."" This translation stops abruptly and fails to complete the meaning. The original makes a complete logical argument: when checks and balances are dismantled and there's no compulsion to provide coherent reasons, the presidency will soon lack coherent reasons entirely. The model captures only the first part about not having to provide reasons, then trails off with ""if he ever does,"" which is incomplete and unclear. The critical conclusion about the presidency soon having few coherent reasons for its policies is entirely missing. The correct translation should be ""A presidency that, having dismantled traditional checks and balances, is never compelled to provide coherent reasons for its policies, is soon likely to have few coherent reasons for its policies."""
此外，类似思维混乱/古怪这些目前尚未被定义为失调，但有逐渐发展成精神性失调风险的行为将被定义为“精神风险性失调 ” 。	Likewise, loose or quirky thinking that is not now a disorder but indicates an increased risk of developing a psychotic disorder would be classified as a “psychotic risk disorder.”	Moreover, disorders such as disorganized/bizarre thinking, which are currently not defined as disorders, would be defined as “psychologically risky disorders” if they were to develop into full-blown psychotic disorders.	Semantic Error	"The model translation is ""Moreover, disorders such as disorganized/bizarre thinking, which are currently not defined as disorders, would be defined as 'psychologically risky disorders' if they were to develop into full-blown psychotic disorders."" The model creates a logical contradiction by saying these things ""are currently not defined as disorders"" but then referring to them as ""disorders such as disorganized/bizarre thinking."" The original describes behaviors that are ""not now a disorder"" but indicate increased risk - the model incorrectly adds the condition ""if they were to develop into full-blown psychotic disorders,"" which reverses the causal logic. The term ""psychologically risky disorders"" is also incorrect - it should be ""psychotic risk disorder."" The correct translation should be ""Likewise, loose or quirky thinking that is not now a disorder but indicates an increased risk of developing a psychotic disorder would be classified as a 'psychotic risk disorder.'"""
如今，在美国和英国政坛 — — 事实上，是民主世界的几乎每���个角落 — — 有太多的“狂兽”环伺。	There are at the moment rather too many “rough beasts” around, in US and British politics alike – indeed, almost everywhere in the democratic world.	Today, there are too many “wild beasts” lurking in the shadows of American and British politics – indeed, in almost every corner of the democratic world – to be ignored.	Fluency Error	"The model translation is ""Today, there are too many 'wild beasts' lurking in the shadows of American and British politics – indeed, in almost every corner of the democratic world – to be ignored."" The phrase ""lurking in the shadows"" is added content that makes the translation sound melodramatic and changes the tone. The original simply says there are ""rather too many 'rough beasts' around"" in politics, which is more direct. The model also adds ""to be ignored"" at the end, which is not in the original and creates an incomplete construction. The term ""wild beasts"" is less precise than ""rough beasts,"" which is a specific literary allusion. The correct translation should be ""There are at the moment rather too many 'rough beasts' around, in US and British politics alike – indeed, almost everywhere in the democratic world."""
公众正日益裂化为一个个由思维相似人群组成的小群体，他们看到于自己类似的观点回荡在博客，评论，和推特中，无需接触不同的观点，而这些不同的观点也被视作反对派的宣传 ） ， 事实上就算作为一名政客而落选了，桑托勒姆的新声望也足以令他转型为媒体煽动者而拥有成功的事业。	The public is increasingly segmented into groups of likeminded people who see their views echoed back to them in blogs, comments, and tweets. There is no need to be exposed to different opinions, which are, in any case, considered to be propaganda.	The public is increasingly fragmented into small groups of like-minded people, who see their own views reflected in blogs, comments, and tweets, without encountering different views, which are viewed as propaganda from the opposition, even if one is a politician who lost an election.	Incomplete Translation	"The model translation is ""The public is increasingly fragmented into small groups of like-minded people, who see their own views reflected in blogs, comments, and tweets, without encountering different views, which are viewed as propaganda from the opposition, even if one is a politician who lost an election."" The translation becomes confused and incomplete toward the end. The original text ends with a complete thought about not needing to encounter different opinions, which are considered propaganda. The model adds a confusing clause ""even if one is a politician who lost an election"" that does not connect logically to what precedes it and appears to be a fragment from different content. This ending disrupts the coherent argument about echo chambers and makes the sentence trail off without proper conclusion. The correct translation should be ""The public is increasingly segmented into groups of likeminded people who see their views echoed back to them in blogs, comments, and tweets. There is no need to be exposed to different opinions, which are, in any case, considered to be propaganda."""
但让教员将大部分教学时间用于帮助学生通过讨论和练习参与到活跃学习之中，而不是用于有时可以做到百里挑一的讲课，不是更有意义吗？	But wouldn’t it make more sense for the bulk of faculty teaching time to be devoted to helping students engage in active learning through discussion and exercises, rather than to sometimes hundredth-best lecture performances?	But wouldn’t it be more meaningful if teachers spent most of their class time helping students engage in active learning by discussing and practicing, rather than lecturing, which can sometimes be a mile wide and an inch deep?	Lexical Error	"The model translation is ""But wouldn't it be more meaningful if teachers spent most of their class time helping students engage in active learning by discussing and practicing, rather than lecturing, which can sometimes be a mile wide and an inch deep?"" The model uses the idiom ""a mile wide and an inch deep"" which is not in the original and changes the meaning. The original discusses ""sometimes hundredth-best lecture performances,"" referring to the fact that most faculty lectures are not as good as the very best lectures available. The model's idiom about being superficial is a different concept entirely. The phrase ""more meaningful"" is also weaker than the original's ""make more sense,"" which is about logical resource allocation rather than emotional significance. The correct translation should be ""But wouldn't it make more sense for the bulk of faculty teaching time to be devoted to helping students engage in active learning through discussion and exercises, rather than to sometimes hundredth-best lecture performances?"""
习近平和奥巴马就朝鲜进行了“直率的”讨论，接着又在未和其正式盟友朝鲜会晤的情况下与韩国总统朴槿惠进行了峰会。	Following the “frank” discussion of North Korea by Xi and Obama, Xi hosted a summit with South Korean President Park Geun-hye, without first meeting with its official North Korean ally.	Xi and Obama had a “candid” discussion about North Korea, followed by a summit with South Korean President Park Geun-hye that did not include a meeting with North Korea’s leader, Kim Jong-un, who is an official ally of China’s.	Omission/Addition Error	"The model translation is ""Xi and Obama had a 'candid' discussion about North Korea, followed by a summit with South Korean President Park Geun-hye that did not include a meeting with North Korea's leader, Kim Jong-un, who is an official ally of China's."" The model adds entirely fabricated content about Kim Jong-un and claims there should have been a meeting with him that was excluded. The original text simply states that Xi met with Park Geun-hye ""without first meeting with its official North Korean ally,"" meaning North Korea as a country, not specifically Kim Jong-un. The model creates a false narrative suggesting Kim Jong-un was somehow expected to be part of this meeting. The correct translation should be ""Following the 'frank' discussion of North Korea by Xi and Obama, Xi hosted a summit with South Korean President Park Geun-hye, without first meeting with its official North Korean ally."""
正如《拐角时代》一书所面临的争议一样，对莱恩哈特和罗格夫文章的争议表面上是源于对作者统计方法的怀疑，但根源其实在于其他人利用这项研究所可能达到的目的。	As with Time on the Cross, the Reinhart/Rogoff controversy, while ostensibly stemming from the authors’ statistical procedures, is actually rooted in the purposes to which others put their study.	As with the controversy over The Great Divergence, the dispute over Rauch and Rogoff’s paper appears to be rooted in suspicions about the authors’ statistical methods, but is really about what others can do with the research.	Named Entity Error	"The model translation is ""As with the controversy over The Great Divergence, the dispute over Rauch and Rogoff's paper appears to be rooted in suspicions about the authors' statistical methods, but is really about what others can do with the research."" The model gets the authors' names completely wrong - it should be Reinhart and Rogoff, not ""Rauch and Rogoff."" The model also invents a different book title ""The Great Divergence"" when the original references ""Time on the Cross."" These are entirely different scholarly works. Additionally, the ending phrase ""what others can do with the research"" oversimplifies the original's more precise phrasing about ""the purposes to which others put their study."" The correct translation should be ""As with Time on the Cross, the Reinhart/Rogoff controversy, while ostensibly stemming from the authors' statistical procedures, is actually rooted in the purposes to which others put their study."""
在最近的G-20财长上海会议上，与会者也问了相同的问题 — — 不仅仅是为萎靡的全球增长中期预期而问。	At the recent meeting of G-20 finance ministers in Shanghai, participants were asking much the same question – and not just with regard to medium-term expectations of weak global growth.	The same question was asked at the recent meeting of finance ministers and central bank governors in Shanghai, not just for the medium-term projections of anemic global growth.	Grammatical Error	"The model translation is ""The same question was asked at the recent meeting of finance ministers and central bank governors in Shanghai, not just for the medium-term projections of anemic global growth."" The model adds ""central bank governors"" which is not in the original text - it should be only ""finance ministers."" The grammatical structure also shifts awkwardly - ""not just for"" creates an incomplete construction that does not properly convey the original meaning. The original uses ""not just with regard to"" which is more precise. The model also changes ""weak global growth"" to ""anemic global growth,"" which while similar, is not the exact terminology used. The correct translation should be ""At the recent meeting of G-20 finance ministers in Shanghai, participants were asking much the same question – and not just with regard to medium-term expectations of weak global growth."""
除了BJP集体上Twitter之外 — — 莫迪的网上盟友包括BJP议会领袖斯瓦拉伊（Sushma Swaraj）和一个有组织支持者团体 — — 各党派的主流印度政客纷纷进入社交媒体。	Aside from the BJP’s wholesale adoption of Twitter – Modi’s allies on the network include the party’s parliamentary leader, Sushma Swaraj, and a coterie of organized supporters – prominent Indian politicians from all parties have leapt in.	Beyond the BJP’s collective Twitter-ing – Modi’s online allies include Bharatiya Janata Party parliamentary leader SushmaSwaraj and an organized group of supporters – mainstream Indian politicians of all parties are entering social media.	Fluency Error	"The model translation is ""Beyond the BJP's collective Twitter-ing – Modi's online allies include Bharatiya Janata Party parliamentary leader SushmaSwaraj and an organized group of supporters – mainstream Indian politicians of all parties are entering social media."" The compound word ""Twitter-ing"" with hyphen is awkward and unnatural - the original uses ""wholesale adoption of Twitter"" which is clearer. The phrase ""entering social media"" at the end sounds like they are just now discovering social media, which is less dynamic than the original's ""have leapt in."" The model also writes ""SushmaSwaraj"" as one word without a space, which is a formatting error. The phrase ""mainstream Indian politicians"" is also less specific than ""prominent Indian politicians."" The correct translation should be ""Aside from the BJP's wholesale adoption of Twitter – Modi's allies on the network include the party's parliamentary leader, Sushma Swaraj, and a coterie of organized supporters – prominent Indian politicians from all parties have leapt in."""
过去20年来，已经有30多个国家超过1，700万农民种植了超过15亿公顷的抗旱作物 — — 没有哪里的生态系统遭到破坏，甚至都没有出现过食用者胃疼这样的结果。	Over the last two decades, such crop varieties have been cultivated on more than 1.5 billion hectares by more than 17 million farmers in some 30 countries – without disrupting a single ecosystem or causing so much as a stomachache.	In the last 20 years, more than 30 countries have planted more than one billion hectares of drought-tolerant crops – with no ecological damage and no adverse effects on consumers’ stomachs to speak of.	Omission/Addition Error	"The model translation is ""In the last 20 years, more than 30 countries have planted more than one billion hectares of drought-tolerant crops – with no ecological damage and no adverse effects on consumers' stomachs to speak of."" The model significantly understates the area by saying ""one billion hectares"" when the original states ""1.5 billion hectares."" The model also fails to mention that ""17 million farmers"" were involved in this cultivation. The phrase ""to speak of"" added at the end is unnecessary and weakens the statement. The model adds ""drought-tolerant"" as a descriptor, but the original more generally refers to genetically modified crop varieties. The correct translation should be ""Over the last two decades, such crop varieties have been cultivated on more than 1.5 billion hectares by more than 17 million farmers in some 30 countries – without disrupting a single ecosystem or causing so much as a stomachache."""
微软公司说，如果MNS空间不阻挡其中文博客，那么，中国的防火墙长城就会阻挡中国互联网使用者接触使用它的服务。	If MSN Spaces did not censor its Chinese blogs, Microsoft argues, the Great Chinese Firewall would simply be programmed to block Chinese Internet users from accessing its service.	According to Microsoft, if the MNS space were not blocked, China’s Great Firewall would block Chinese Internet users from accessing its services.	Semantic Error	"The model translation is ""According to Microsoft, if the MNS space were not blocked, China's Great Firewall would block Chinese Internet users from accessing its services."" The model reverses the conditional logic. The original states that if MSN Spaces did not censor content, then the Great Firewall would block access. The model says if MSN space ""were not blocked"" (passive), which changes who is doing the blocking. The model also refers to ""MNS space"" instead of ""MSN Spaces,"" which is a factual error about the service name. The logical relationship is confused - Microsoft's argument is that they must self-censor to avoid being blocked by China's firewall. The correct translation should be ""If MSN Spaces did not censor its Chinese blogs, Microsoft argues, the Great Chinese Firewall would simply be programmed to block Chinese Internet users from accessing its service."""
这使德国与其他欧元区大国相比在国际市场上的竞争力有所提高，后者一直默不作声，既没有改革生产率，也没有采取其他相应措施。	This allowed Germany to improve its competitive position in world markets vis-à-vis the other large euro-zone economies, where there were no productivity revolutions, silent or otherwise.	This has made Germany more competitive in international markets than other large eurozone countries, which have said little while failing to reform productivity and take other appropriate measures.	Omission/Addition Error	"The model translation is ""This has made Germany more competitive in international markets than other large eurozone countries, which have said little while failing to reform productivity and take other appropriate measures."" The model adds content that is not in the original - ""have said little while failing to reform productivity and take other appropriate measures."" The original simply states that other countries ""were no productivity revolutions, silent or otherwise,"" which is about the absence of productivity improvements, not about what countries said or failed to do. The phrase ""said little"" suggests deliberate silence on an issue, which is not the point being made. The model also changes past tense to present perfect, altering the timeframe. The correct translation should be ""This allowed Germany to improve its competitive position in world markets vis-à-vis the other large euro-zone economies, where there were no productivity revolutions, silent or otherwise."""
位于印度西南部的喀拉拉邦的海岸线分布着中国式的渔网，马来亚力（Malayali）主妇最喜欢的烹饪工具是在当地叫 cheen-chetti （意思是中国船）的锅。	Southwest India’s Kerala coastline is dotted with Chinese-style fishing nets, and the favorite cooking pot of the Malayali housewife is the wok, locally called the cheen-chetti (Chinese vessel).	The coast of Kerala, in India’s southwest, is littered with Chinese fishing nets, and Malayali women’s favorite cooking utensil is the local version of the Chinese boat, called a cheenchetti.	Lexical Error	"The model translation is ""The coast of Kerala, in India's southwest, is littered with Chinese fishing nets, and Malayali women's favorite cooking utensil is the local version of the Chinese boat, called a cheenchetti."" The word ""littered"" has negative connotations suggesting mess or garbage, while the original uses ""dotted,"" which is neutral and even positive, suggesting an attractive distribution. The model describes the wok as ""the local version of the Chinese boat,"" which is confusing since a wok is not a boat - the original correctly identifies it as a cooking pot while noting that the local term means ""Chinese vessel."" The model also refers to ""Malayali women"" when the original says ""Malayali housewife,"" which is more specific. The correct translation should be ""Southwest India's Kerala coastline is dotted with Chinese-style fishing nets, and the favorite cooking pot of the Malayali housewife is the wok, locally called the cheen-chetti (Chinese vessel)."""
亚洲合作对话组织被用来使泰国成为东南亚的政治重心；伊洛瓦底江、昭披耶河与湄公河经济合作战略会议则使得其成为该地区经济发展的关键；而众多的双边协议则将会加强其与该地区大国的关系。	The ACD was designed to make Thailand the political center of gravity in Southeast Asia; ACMECS was to make it the region’s linchpin of economic development; and the bilateral agreements would cement relations with the biggest players in the region.	The ACD is being used to make Thailand the political center of Southeast Asia; the Mekong-Chao Phraya-Mekong Economic Cooperation Strategy Meeting will make it the center of the region’s economic development; and many bilateral agreements will strengthen its ties with the major powers in the region.	Named Entity Error	"The model translation is ""The ACD is being used to make Thailand the political center of Southeast Asia; the Mekong-Chao Phraya-Mekong Economic Cooperation Strategy Meeting will make it the center of the region's economic development; and many bilateral agreements will strengthen its ties with the major powers in the region."" The model incorrectly expands the acronym ACMECS as ""Mekong-Chao Phraya-Mekong Economic Cooperation Strategy Meeting,"" which is wrong - ACMECS stands for Ayeyawady-Chao Phraya-Mekong Economic Cooperation Strategy. The rivers are Irrawaddy (Ayeyawady), Chao Phraya, and Mekong, not ""Mekong-Chao Phraya-Mekong"" which redundantly lists Mekong twice. The model also changes ""was designed"" and ""was to make"" to present and future tenses, losing the sense that these were Thailand's strategic intentions. The correct translation should be ""The ACD was designed to make Thailand the political center of gravity in Southeast Asia; ACMECS was to make it the region's linchpin of economic development; and the bilateral agreements would cement relations with the biggest players in the region."""
如果泰勒还活着，看到目前的局面 — — 各种加剧恐慌的误解、误算和过度反应 — — 他将毫无疑问地体会到似曾相识的警钟。	If Taylor were alive to witness the current situation – characterized by fear-enhancing misperception, miscalculation, and overreaction – he would undoubtedly be feeling an alarming sense of déjà vu.	If Taylor were still alive, he would undoubtedly recognize the alarm bells ringing in the current situation, with so many exaggerated fears, miscalculations, and overreactions.	Fluency Error	"The model translation is ""If Taylor were still alive, he would undoubtedly recognize the alarm bells ringing in the current situation, with so many exaggerated fears, miscalculations, and overreactions."" The phrase ""recognize the alarm bells ringing"" is awkward and less natural than the original's ""feeling an alarming sense of déjà vu,"" which better captures the feeling of having seen this dangerous pattern before. The model's version loses this temporal dimension. The model also says ""exaggerated fears"" when the original says ""fear-enhancing misperception,"" which is about perception problems that increase fear, not fears that are exaggerated. The overall flow is stilted compared to the original's more elegant phrasing. The correct translation should be ""If Taylor were alive to witness the current situation – characterized by fear-enhancing misperception, miscalculation, and overreaction – he would undoubtedly be feeling an alarming sense of déjà vu."""
比方说，他们正在讨论INDC到2030年合计完成减排25%还是30 % ， 而此后我们需要25 % 、 30%还是40%的减排才能完成目标。	They are debating, for example, whether the INDCs add up to a 25% or 30% reduction by 2030, and whether we need a 25%, 30%, or 40% reduction by then to be on track.	They are, for example, discussing whether the INDCs will collectively reduce emissions by 25%, or 20%, or even 10%, by  twenty-five years from now, when we will need to be cutting emissions at a rate of, say, 50% or 60% to meet the goal.	Omission/Addition Error	"The model translation is ""They are, for example, discussing whether the INDCs will collectively reduce emissions by 25%, or 20%, or even 10%, by twenty-five years from now, when we will need to be cutting emissions at a rate of, say, 50% or 60% to meet the goal."" The model fabricates completely different numbers - the original discusses whether INDCs add up to 25% or 30% reduction by 2030, and whether we need 25%, 30%, or 40% to be on track. The model invents ""20%, or even 10%"" and ""50% or 60%"" which are not in the original text at all. The phrase ""twenty-five years from now"" is also incorrect - the original specifically says ""by 2030."" These numerical changes fundamentally alter the substance of the climate policy debate being described. The correct translation should be ""They are debating, for example, whether the INDCs add up to a 25% or 30% reduction by 2030, and whether we need a 25%, 30%, or 40% reduction by then to be on track."""
最新研究表明豁免希腊的官方债务毫无疑问是值得追求的，而再来一个假协议将让希腊经济继续陷于萧条，问题在不久后必将复发。	Recent analysis shows that forgiveness of Greece’s official debt is unambiguously desirable, as another bogus deal will keep the Greek economy depressed, ensuring that the problem soon recurs.	Recent research shows that the official debt write-off for Greece was certainly worth pursuing, and another sham deal will leave the Greek economy mired in depression for years to come, with the problem soon to recur.	Semantic Error	"The model translation is ""Recent research shows that the official debt write-off for Greece was certainly worth pursuing, and another sham deal will leave the Greek economy mired in depression for years to come, with the problem soon to recur."" The model changes ""forgiveness of Greece's official debt"" to ""official debt write-off for Greece,"" which alters the tense and suggests this already happened rather than being a recommendation. The original says forgiveness ""is unambiguously desirable,"" meaning it should happen but has not - the model says it ""was certainly worth pursuing,"" implying it already occurred in the past. The phrase ""mired in depression for years to come"" is also added content - the original simply says another bad deal ""will keep the Greek economy depressed."" The correct translation should be ""Recent analysis shows that forgiveness of Greece's official debt is unambiguously desirable, as another bogus deal will keep the Greek economy depressed, ensuring that the problem soon recurs."""
但他立刻说明一个事实“每一个投资者都欺骗自己说他们的资产是可流动的（虽然如果所有投资者想要变现的话，资产就不可能变现。 ）有了这样的前提，他们就可以放心来进行更为大胆的冒险行为 。 ”	But he immediately drew back: the fact “that each individual investor flatters himself that his commitment is ‘liquid’ (though this cannot be true for all investors collectively) calms his nerves and makes him much more willing to run a risk...”	But he immediately points out that the fact that “every investor deceives himself into thinking that his assets are liquid (though they are not if all investors want to cash out at the same time) allows them to feel comfortable taking more audacious risks.”	Semantic Error	"The model translation is ""But he immediately points out that the fact that 'every investor deceives himself into thinking that his assets are liquid (though they are not if all investors want to cash out at the same time) allows them to feel comfortable taking more audacious risks.'"" The model significantly changes Keynes's argument. The original says he ""drew back"" from his position, indicating hesitation or qualification, but the model says he ""points out,"" which suggests confident assertion. The model also loses the nuance of the original phrase about investors flattering themselves with the belief in liquidity ""calms his nerves and makes him much more willing to run a risk,"" which has psychological subtlety. The model's version ""allows them to feel comfortable taking more audacious risks"" is less precise and loses the calming effect on nerves. The correct translation should be ""But he immediately drew back: the fact 'that each individual investor flatters himself that his commitment is 'liquid' (though this cannot be true for all investors collectively) calms his nerves and makes him much more willing to run a risk...'"""
比如，2011年3月通过的十二五规划承诺中国经济将进入消费拉动时代，建立在城镇化和方兴未艾的服务部门的发展的基础上。	For example, the 12th Five-Year Plan, adopted in March 2011, promised the emergence of a consumer-led economy, resting on the building blocks of urbanization and the development of an embryonic services sector.	For example, China’s 12th Five-Year Plan, adopted in March 2001, committed the economy to a consumer-led era, based on the development of a urbanized and service-oriented sector.	Named Entity Error	"The model translation is ""For example, China's 12th Five-Year Plan, adopted in March 2001, committed the economy to a consumer-led era, based on the development of a urbanized and service-oriented sector."" The model gets the date completely wrong - it says ""March 2001"" when the original clearly states ""March 2011."" This is a ten-year error that places the policy in the wrong decade. The model also has a grammatical error with ""a urbanized"" instead of ""an urbanized"" or the original's construction about ""urbanization and the development of an embryonic services sector."" The phrase ""service-oriented sector"" is also less precise than the original's ""embryonic services sector,"" which emphasizes the sector is in early stages of development. The correct translation should be ""For example, the 12th Five-Year Plan, adopted in March 2011, promised the emergence of a consumer-led economy, resting on the building blocks of urbanization and the development of an embryonic services sector."""
改变世界的梦想掩饰了这场闹剧。 这场闹剧不仅仅如塞万提斯故事中那样影响了个人的命运，也影响了那支受到误导以为自己是传教士的小丑军队。	The dream of improving the world disguised a farce that affected not only a single life, as in Cervantes’ story, and affected not only the misleading army of buffoons believed to be missionaries.	The dream of changing the world disguises the farce, which affects not only individual fates, as in Cervantes’ story, but also the misguided army of clowns who think they are missionaries.	Semantic Error	"The model translation is ""The dream of changing the world disguises the farce, which affects not only individual fates, as in Cervantes' story, but also the misguided army of clowns who think they are missionaries."" The model misinterprets the comparison structure. The original says the farce affects not only a single life as in Cervantes' story, but also affects the army of buffoons. The model's phrasing ""affects not only individual fates...but also the misguided army"" incorrectly suggests the army is an additional victim of effects, rather than being another type of victim. The original emphasizes that unlike Cervantes where only one person was deluded, here an entire army is deluded. The model also changes ""buffoons believed to be missionaries"" to ""clowns who think they are missionaries,"" which shifts the perspective. The correct translation should be ""The dream of improving the world disguised a farce that affected not only a single life, as in Cervantes' story, and affected not only the misleading army of buffoons believed to be missionaries."""
